appln_id,IPC,earliest_filing_year,Company
425385759,F03D,2014,goldwind
425437821,H02J,2014,goldwind
425437821,H02M,2014,goldwind
425468435,F03D,2014,goldwind
425468915,F16B,2014,goldwind
425468915,F03D,2014,goldwind
425468915,H02K,2014,goldwind
425642317,H02J,2014,goldwind
425843715,G01B,2014,goldwind
425857756,H02K,2014,goldwind
426094671,F03D,2014,goldwind
426104395,H02K,2014,goldwind
437421556,B29C,2014,goldwind
437464699,F03D,2014,goldwind
437473935,H02K,2014,goldwind
437498226,F03D,2014,goldwind
437498228,F03D,2014,goldwind
437506726,H02K,2014,goldwind
437808372,F03D,2014,goldwind
438032148,E02D,2014,goldwind
438032148,B63B,2014,goldwind
438040427,F03D,2014,goldwind
438040427,E06B,2014,goldwind
438040427,B23K,2014,goldwind
438612102,C22C,2014,goldwind
438612102,C21C,2014,goldwind
438659692,H02M,2014,goldwind
438659692,H05K,2014,goldwind
438894042,F03D,2014,goldwind
438894044,F03D,2014,goldwind
438895027,F16J,2014,goldwind
438895027,F03D,2014,goldwind
439255952,F03D,2014,goldwind
439407580,H02K,2014,goldwind
440275714,G06F,2014,goldwind
440392884,F03D,2014,goldwind
440457143,B65D,2014,goldwind
440457145,B65D,2014,goldwind
440458447,B66C,2014,goldwind
440477411,H02K,2015,goldwind
440778522,B23P,2014,goldwind
440792555,F03D,2015,goldwind
440792555,B63B,2015,goldwind
440838655,F03D,2014,goldwind
440849112,H02K,2015,goldwind
441929745,E02D,2014,goldwind
441929745,B63B,2014,goldwind
442075810,F27D,2013,goldwind
442075810,C21D,2013,goldwind
442075810,F27B,2013,goldwind
442688273,H02K,2015,goldwind
442761921,F03D,2015,goldwind
442761921,B63B,2015,goldwind
442929018,F01P,2015,goldwind
442929018,F03D,2015,goldwind
443242340,H02K,2015,goldwind
443780019,F03D,2015,goldwind
444117374,H01B,2015,goldwind
444887232,F03D,2015,goldwind
445175797,H02K,2015,goldwind
445175803,H02K,2015,goldwind
445175805,H02K,2015,goldwind
445364295,B25B,2015,goldwind
445521736,H02G,2015,goldwind
446211053,H02J,2015,goldwind
446613783,H02P,2015,goldwind
446613783,H02J,2015,goldwind
446667905,H02K,2015,goldwind
446895978,B25B,2015,goldwind
446912982,F03D,2015,goldwind
447083654,F03D,2015,goldwind
447500544,H02K,2015,goldwind
447845269,B05C,2015,goldwind
447997372,B66C,2015,goldwind
449142134,G01R,2015,goldwind
449389636,F03D,2015,goldwind
449396774,H02G,2015,goldwind
449396774,F03D,2015,goldwind
449397126,H02K,2015,goldwind
449397132,H02K,2015,goldwind
449397262,H02K,2015,goldwind
449514141,F03D,2015,goldwind
449519675,G06F,2015,goldwind
449768829,B23Q,2015,goldwind
449784778,F03D,2015,goldwind
449784778,H02K,2015,goldwind
449973274,F03D,2015,goldwind
450382177,F03D,2015,goldwind
450384795,G01M,2015,goldwind
450384797,G01M,2015,goldwind
450384799,G01M,2015,goldwind
450391227,H02K,2015,goldwind
450412585,B29C,2015,goldwind
450424921,F03D,2015,goldwind
450424921,H02G,2015,goldwind
450500948,B29C,2015,goldwind
450514347,F03D,2015,goldwind
450515100,F03D,2015,goldwind
450515100,F16H,2015,goldwind
450518040,G01L,2015,goldwind
450519074,G01N,2015,goldwind
450519084,G01N,2015,goldwind
450519084,F16H,2015,goldwind
450527768,F03D,2015,goldwind
450527768,H02G,2015,goldwind
450557979,F03D,2015,goldwind
450766896,B29L,2015,goldwind
450766896,B29C,2015,goldwind
450778434,F03D,2015,goldwind
450781832,G01M,2015,goldwind
450791478,H02J,2015,goldwind
450818957,A62C,2015,goldwind
450831030,B66C,2015,goldwind
450836584,F03D,2015,goldwind
450836616,F03D,2015,goldwind
450836618,F03D,2015,goldwind
450836634,F03D,2015,goldwind
450843293,G01R,2015,goldwind
450963977,B29C,2015,goldwind
450963977,B29L,2015,goldwind
450974995,F03D,2015,goldwind
450986785,F03D,2015,goldwind
450986785,H01R,2015,goldwind
450986785,G02B,2015,goldwind
450987508,F16F,2015,goldwind
450987508,H02K,2015,goldwind
450987616,F16L,2015,goldwind
450987616,G01M,2015,goldwind
450987616,H02K,2015,goldwind
451017615,B29C,2015,goldwind
451027562,E06C,2015,goldwind
451027562,F03D,2015,goldwind
451028614,F03D,2015,goldwind
451041488,F03D,2015,goldwind
451041488,H04N,2015,goldwind
451041488,G08B,2015,goldwind
451288487,F03D,2015,goldwind
451288491,F03D,2015,goldwind
451288493,F16C,2016,goldwind
451288493,F03D,2016,goldwind
451288493,F16N,2016,goldwind
451291171,G01C,2015,goldwind
451292641,G01R,2015,goldwind
451299304,H02J,2015,goldwind
451299504,H02K,2015,goldwind
451434778,F03D,2015,goldwind
451434778,B28B,2015,goldwind
451436538,B63B,2015,goldwind
451450088,F03D,2015,goldwind
451450094,F03D,2015,goldwind
451450098,F03D,2015,goldwind
451450100,F03D,2015,goldwind
451450106,F03D,2015,goldwind
451450112,F03D,2015,goldwind
451450114,F03D,2015,goldwind
451464304,H02K,2015,goldwind
451506202,F03D,2015,goldwind
451511941,G01M,2015,goldwind
451511943,G01M,2015,goldwind
451512465,G01N,2015,goldwind
451512465,F16H,2015,goldwind
451512471,G01N,2015,goldwind
451512471,F16H,2015,goldwind
451517395,F03D,2015,goldwind
451517395,H02G,2015,goldwind
451517945,H02K,2015,goldwind
451653659,G01M,2015,goldwind
451687359,G01F,2015,goldwind
451687359,B65D,2015,goldwind
451693423,F03D,2015,goldwind
451693423,E06C,2015,goldwind
451694173,F03D,2015,goldwind
451699445,G01M,2015,goldwind
451881193,B25H,2015,goldwind
451895845,G01C,2015,goldwind
451895845,F03D,2015,goldwind
451895878,B23P,2015,goldwind
451895878,F03D,2015,goldwind
451895890,F03D,2015,goldwind
451896350,F15B,2016,goldwind
451900057,G01M,2015,goldwind
451901894,G01P,2015,goldwind
451902227,G01R,2016,goldwind
451910952,H02K,2015,goldwind
451939536,B29C,2015,goldwind
451949888,F03D,2015,goldwind
451955112,G01L,2015,goldwind
451955112,G01B,2015,goldwind
451955286,G01M,2015,goldwind
451960560,F03D,2015,goldwind
451960560,H02G,2015,goldwind
451960906,H02K,2015,goldwind
451960906,F16F,2015,goldwind
451960942,H02K,2015,goldwind
451961004,H02K,2015,goldwind
452126397,B23B,2015,goldwind
452126397,B23Q,2015,goldwind
452127745,B29L,2015,goldwind
452127745,B29C,2015,goldwind
452139950,F16D,2015,goldwind
452139950,F03D,2015,goldwind
452139979,F03D,2016,goldwind
452143666,G01L,2015,goldwind
452194978,E06B,2015,goldwind
452198624,F16J,2015,goldwind
452198624,F03D,2015,goldwind
452198624,F16N,2015,goldwind
452201908,G01D,2015,goldwind
452203606,G01R,2015,goldwind
